provider,aux_mode,aux_source,target_rank,aux_file,output_pdf,gaussian_clusters,n_features,chai_selected_q05,chai_selected_q10,chai_selected_q15,chai_selected_q20,bh_selected_q05,fdrreg_selected_q05,fdrreg_selected_q10,fdrreg_selected_q15,fdrreg_selected_q20
combined,unweighted,class,family,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/unweighted/selectionTargetFamily/d1Taxonomy_family_ABCD_class_and_below_unweighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/unweighted/feature_selection_target_family_aux_class_unweighted.pdf,10,75,0,4,22,36,1,2,11,28,48
combined,unweighted,family,family,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/unweighted/selectionTargetFamily/d1Taxonomy_family_ABCD_family_and_below_unweighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/unweighted/feature_selection_target_family_aux_family_unweighted.pdf,7,75,0,15,28,37,1,1,9,27,46
combined,unweighted,order,family,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/unweighted/selectionTargetFamily/d1Taxonomy_family_ABCD_order_and_below_unweighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/unweighted/feature_selection_target_family_aux_order_unweighted.pdf,10,75,0,4,22,36,1,2,11,28,48
combined,unweighted,phylum,family,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/unweighted/selectionTargetFamily/d1Taxonomy_family_ABCD_phylum_and_below_unweighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/unweighted/feature_selection_target_family_aux_phylum_unweighted.pdf,10,75,0,4,22,36,1,2,11,28,48
combined,unweighted,class,genus,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/unweighted/selectionTargetGenus/d1Taxonomy_genus_ABCD_class_and_below_unweighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/unweighted/feature_selection_target_genus_aux_class_unweighted.pdf,10,186,2,11,55,116,0,3,6,19,58
combined,unweighted,family,genus,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/unweighted/selectionTargetGenus/d1Taxonomy_genus_ABCD_family_and_below_unweighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/unweighted/feature_selection_target_genus_aux_family_unweighted.pdf,10,186,69,142,150,150,0,3,6,18,55
combined,unweighted,genus,genus,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/unweighted/selectionTargetGenus/d1Taxonomy_genus_ABCD_genus_and_below_unweighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/unweighted/feature_selection_target_genus_aux_genus_unweighted.pdf,8,186,7,14,46,106,0,3,7,16,43
combined,unweighted,order,genus,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/unweighted/selectionTargetGenus/d1Taxonomy_genus_ABCD_order_and_below_unweighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/unweighted/feature_selection_target_genus_aux_order_unweighted.pdf,10,186,2,11,55,116,0,3,6,19,58
combined,unweighted,phylum,genus,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/unweighted/selectionTargetGenus/d1Taxonomy_genus_ABCD_phylum_and_below_unweighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/unweighted/feature_selection_target_genus_aux_phylum_unweighted.pdf,10,186,2,11,55,116,0,3,6,19,58
combined,unweighted,class,species,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/unweighted/selectionTargetSpecies/d1Taxonomy_species_ABCD_class_and_below_unweighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/unweighted/feature_selection_target_species_aux_class_unweighted.pdf,10,281,144,186,206,219,0,0,0,4,49
combined,unweighted,family,species,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/unweighted/selectionTargetSpecies/d1Taxonomy_species_ABCD_family_and_below_unweighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/unweighted/feature_selection_target_species_aux_family_unweighted.pdf,10,281,143,189,209,221,0,0,0,3,47
combined,unweighted,genus,species,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/unweighted/selectionTargetSpecies/d1Taxonomy_species_ABCD_genus_and_below_unweighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/unweighted/feature_selection_target_species_aux_genus_unweighted.pdf,10,281,12,38,111,179,0,0,0,2,27
combined,unweighted,order,species,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/unweighted/selectionTargetSpecies/d1Taxonomy_species_ABCD_order_and_below_unweighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/unweighted/feature_selection_target_species_aux_order_unweighted.pdf,10,281,144,186,206,219,0,0,0,4,49
combined,unweighted,phylum,species,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/unweighted/selectionTargetSpecies/d1Taxonomy_species_ABCD_phylum_and_below_unweighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/unweighted/feature_selection_target_species_aux_phylum_unweighted.pdf,10,281,144,186,206,219,0,0,0,4,49
combined,unweighted,species,species,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/unweighted/selectionTargetSpecies/d1Taxonomy_species_ABCD_species_and_below_unweighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/unweighted/feature_selection_target_species_aux_species_unweighted.pdf,10,281,0,36,128,164,0,NA,NA,NA,NA
combined,weighted,class,family,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/weighted/selectionTargetFamily/d1Taxonomy_family_ABCD_class_and_below_weighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/weighted/feature_selection_target_family_aux_class_weighted.pdf,10,75,0,5,24,37,1,2,12,29,48
combined,weighted,family,family,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/weighted/selectionTargetFamily/d1Taxonomy_family_ABCD_family_and_below_weighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/weighted/feature_selection_target_family_aux_family_weighted.pdf,7,75,0,15,28,37,1,1,9,26,46
combined,weighted,order,family,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/weighted/selectionTargetFamily/d1Taxonomy_family_ABCD_order_and_below_weighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/weighted/feature_selection_target_family_aux_order_weighted.pdf,10,75,0,5,24,37,1,2,12,29,48
combined,weighted,phylum,family,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/weighted/selectionTargetFamily/d1Taxonomy_family_ABCD_phylum_and_below_weighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/weighted/feature_selection_target_family_aux_phylum_weighted.pdf,10,75,0,5,24,37,1,2,12,29,48
combined,weighted,class,genus,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/weighted/selectionTargetGenus/d1Taxonomy_genus_ABCD_class_and_below_weighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/weighted/feature_selection_target_genus_aux_class_weighted.pdf,3,186,3,14,53,112,0,3,7,22,68
combined,weighted,family,genus,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/weighted/selectionTargetGenus/d1Taxonomy_genus_ABCD_family_and_below_weighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/weighted/feature_selection_target_genus_aux_family_weighted.pdf,10,186,38,87,131,146,0,3,7,21,67
combined,weighted,genus,genus,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/weighted/selectionTargetGenus/d1Taxonomy_genus_ABCD_genus_and_below_weighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/weighted/feature_selection_target_genus_aux_genus_weighted.pdf,7,186,4,21,62,122,0,4,10,20,53
combined,weighted,order,genus,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/weighted/selectionTargetGenus/d1Taxonomy_genus_ABCD_order_and_below_weighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/weighted/feature_selection_target_genus_aux_order_weighted.pdf,3,186,3,14,53,112,0,3,7,22,68
combined,weighted,phylum,genus,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/weighted/selectionTargetGenus/d1Taxonomy_genus_ABCD_phylum_and_below_weighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/weighted/feature_selection_target_genus_aux_phylum_weighted.pdf,3,186,3,14,53,112,0,3,7,22,68
combined,weighted,class,species,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/weighted/selectionTargetSpecies/d1Taxonomy_species_ABCD_class_and_below_weighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/weighted/feature_selection_target_species_aux_class_weighted.pdf,10,281,147,185,196,196,0,0,0,8,60
combined,weighted,family,species,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/weighted/selectionTargetSpecies/d1Taxonomy_species_ABCD_family_and_below_weighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/weighted/feature_selection_target_species_aux_family_weighted.pdf,10,281,146,186,196,196,0,0,0,6,58
combined,weighted,genus,species,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/weighted/selectionTargetSpecies/d1Taxonomy_species_ABCD_genus_and_below_weighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/weighted/feature_selection_target_species_aux_genus_weighted.pdf,10,281,12,39,113,179,0,0,0,3,31
combined,weighted,order,species,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/weighted/selectionTargetSpecies/d1Taxonomy_species_ABCD_order_and_below_weighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/weighted/feature_selection_target_species_aux_order_weighted.pdf,10,281,147,185,196,196,0,0,0,8,60
combined,weighted,phylum,species,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/weighted/selectionTargetSpecies/d1Taxonomy_species_ABCD_phylum_and_below_weighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/weighted/feature_selection_target_species_aux_phylum_weighted.pdf,10,281,147,185,196,196,0,0,0,8,60
combined,weighted,species,species,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/sideCov/combined/weighted/selectionTargetSpecies/d1Taxonomy_species_ABCD_species_and_below_weighted.csv,/Users/yushushi/Library/CloudStorage/OneDrive-WeillCornellMedicine/Ziyi/chai_project/Gopalakrishnan/plots/featureSelectionLines/combined/weighted/feature_selection_target_species_aux_species_weighted.pdf,10,281,0,36,128,164,0,NA,NA,NA,NA
