taxon,AE1,AE2,AE3,AE4,AE5
Haemophilus pittmaniae,-1.1656044,-0.2988531,-0.542077,1.3146406,-3.45336
Haemophilus sp HMSC71H05,-0.899437,0.39279923,0.5925597,0.81961375,-3.3149066
Haemophilus sputorum,0.076153815,-1.8526356,-1.0919001,-0.90720004,-0.36362517
Hafnia alvei,-10.196287,-20.407354,2.8120146,2.574138,-7.8752966
Hafnia paralvei,0.64759696,-0.64967024,1.5578059,-0.584989,2.1352398
Holdemanella biformis,0.19056338,-0.06397843,0.090495944,-0.12891178,-0.42947304
Holdemania filiformis,0.5112702,-0.29397866,-0.17076144,-0.017446231,0.3186656
Hungatella hathewayi,-0.37037617,-1.6308761,0.6152072,0.3885077,-0.60262895
Intestinibacter bartlettii,0.61761063,-0.5260132,0.060301423,0.14180748,-0.5631131
Intestinimonas butyriciproducens,-0.20480943,-15.131735,8.217027,6.7229376,2.5297132
Klebsiella aerogenes,-24.923046,-7.811749,1.0403479,-8.05812,1.151898
Klebsiella michiganensis,-10.562786,-9.210411,4.211478,-5.6385975,-3.1052463
Klebsiella oxytoca,-23.118668,-17.379229,14.797922,-5.32601,23.568922
Klebsiella pneumoniae,4.044838,-6.55427,-10.779339,-39.367706,41.30741
Klebsiella quasipneumoniae,-16.998405,-12.648919,-3.4302306,-6.037946,0.8292222
Klebsiella variicola,-26.83863,-14.275144,-12.830453,-9.060755,3.5269606
Kluyvera ascorbata,-18.785042,0.9728723,-5.5047216,-4.0993576,-15.169709
Kluyvera cryocrescens,-8.015652,-0.50731975,-2.7883968,0.64014286,-4.8839817
Lachnospira pectinoschiza,0.6160674,-0.12706706,0.14087307,0.05386867,-0.94855785
Lactobacillus acidophilus,-0.18579686,0.44233033,-0.3105945,-0.3232296,0.11714992
Lactobacillus amylovorus,0.25300384,0.3698365,-0.030776143,-0.15298972,-0.3166968
Lactobacillus crispatus,0.16982546,0.47526214,-0.41134146,-0.09668901,-0.6929752
Lactobacillus curvatus,0.71094567,-0.9574035,0.28623068,-0.35502937,0.31542107
Lactobacillus delbrueckii,-0.6684862,1.0575382,1.6373295,0.5540668,1.7667089
Lactobacillus fermentum,-0.56963557,7.500056,-1.2047935,1.3024415,-2.9124835
Lactobacillus gasseri,0.72728604,-1.1509113,0.15496218,-0.14273629,0.4160197
Lactobacillus iners,0.8163695,-0.21298179,1.1816663,-0.9130993,1.804379
Lactobacillus johnsonii,0.6112181,0.43263224,0.18090391,-0.042881463,-0.27995297
Lactobacillus mindensis,1.0088048,-0.9433204,-1.0648186,0.30906484,0.289076
Lactobacillus mucosae,0.3716665,0.49182805,0.05764976,-0.40416658,-0.805935
Lactobacillus oris,-0.23388237,2.3406122,0.017082632,0.3452147,0.21017787
Lactobacillus paragasseri,0.6860994,0.064241104,0.0058733225,0.012519255,0.03301242
Lactobacillus plantarum,0.6362699,2.5350535,2.0645714,-1.5188885,0.10959715
Lactobacillus pontis,0.25590566,0.45523337,-0.33539182,-0.2156174,-0.22220805
Lactobacillus reuteri,-1.6160092,4.8801923,5.1660004,3.651869,4.6076016
Lactobacillus rhamnosus,0.7691758,1.4272346,4.4331923,-0.6302415,-2.2913604
Lactobacillus ruminis,0.3126453,0.30773067,0.11544198,-0.19304816,-0.27809942
Lactobacillus sakei,0.5834962,-0.8223256,0.25983953,-0.4035297,0.25044206
Lactobacillus salivarius,0.17571133,0.96683055,0.27770537,-0.107023746,-0.48060858
Lactobacillus sanfranciscensis,0.27333128,0.14704892,-0.5857568,-0.010247272,-0.012772769
Lactobacillus vaginalis,0.107085586,0.48083004,-0.0637368,-0.29884088,-0.4021399
Lactococcus garvieae,0.4788889,0.44388822,0.4201367,-0.1676175,0.546363
Lactococcus lactis,-0.3469742,-2.9276118,0.1510815,0.7925109,1.4202724
Lactococcus petauri,1.1214912,0.25558558,0.5538279,-0.0791974,0.78432226
Lactococcus piscium,0.4025543,0.35085508,0.3996498,-0.37455574,0.2031711
Lactococcus raffinolactis,0.5220969,-0.81563574,0.40871894,-0.1699845,0.70697594
Lawsonibacter asaccharolyticus,0.7806499,-0.23259705,-0.24710134,0.11188973,-0.25571972
Leclercia adecarboxylata,-7.5136204,-5.176864,1.5526763,-1.540684,-7.757701
Leuconostoc citreum,0.8599292,-0.55018413,-0.3192966,-0.29596457,-0.11377737
Leuconostoc garlicum,0.58698124,-0.023701377,-0.4891199,-0.26305506,0.6888963
Leuconostoc gelidum,1.1571529,1.1828717,2.1748934,-1.3407289,1.3102384
Leuconostoc lactis,0.9666928,1.2761006,0.29261386,-0.76302314,0.11999586
Megamonas funiformis,1.6320744,-0.61140573,-0.31884056,0.028573316,-0.9091773
Megamonas funiformis CAG 377,2.0394616,0.5871016,0.40584975,1.069165,-0.84935105
Megamonas hypermegale,2.1385934,-1.5165535,0.08584553,0.399339,-0.8874527
Megamonas rupellensis,1.610884,-0.70759594,-0.3569728,-0.021527663,-0.9040016
Megasphaera elsdenii,0.55282176,-0.30862314,-0.45335817,0.06911889,-0.34460735
Megasphaera micronuciformis,0.644957,-0.15226915,-0.06237212,0.95726347,-0.31108558
Megasphaera stantonii,-0.5231444,-0.8229545,1.5941187,2.9757597,-0.97796535
Melissococcus sp OM08 11BH,0.027551353,-0.3129183,-0.0036244988,0.11866519,0.40220574
Methanobrevibacter smithii,3.9063334,4.049804,-0.30185008,-5.003362,-9.191791
Methanosphaera stadtmanae,0.53841317,-1.661241,0.23918837,-0.84089875,-0.2900797
Mitsuokella multacida,0.4506092,-0.21854421,0.67938566,-0.6457362,-0.82173955
Monoglobus pectinilyticus,0.72219193,-0.44549975,-0.79546654,0.12378365,-0.23839469
Morganella morganii,-5.541212,-3.0835042,1.9354218,2.0904503,-10.253778
Mycobacterium avium,4.763834,10.294086,2.485467,-0.5657649,10.291715
Neisseria flavescens,2.5089476,0.42693582,1.1179672,1.5607327,-1.0941697
Oscillibacter sp CAG 241,0.9921029,-0.8590686,-0.13001093,0.41080743,0.32614878
Oxalobacter formigenes,-0.027574241,1.0389179,0.5864459,0.50955003,-4.0564756
Paenibacillus sp 7884 2,0.73321515,-1.0619923,0.11567682,-0.21509643,0.39378795
Parabacteroides distasonis,-0.022887051,-0.019996762,-0.2676732,0.771615,0.4535978
Parabacteroides goldsteinii,0.5699115,0.08501754,-0.06370187,0.54204684,0.27377698
Parabacteroides gordonii,0.59730756,0.0058869794,-0.08416611,0.60652953,0.27156618
Parabacteroides johnsonii,0.6767675,0.1919094,0.11686832,0.51287407,0.038560063
Parabacteroides merdae,0.62767136,-0.020482063,-0.2727676,0.41197518,-0.40277994
Paraprevotella clara,0.81874526,-0.052967485,-0.7157339,0.6894922,-0.1414996
Paraprevotella xylaniphila,0.8302542,-0.044979896,-0.8088282,0.71770245,-0.15519084
Parasutterella excrementihominis,1.4072726,1.2673583,0.06409949,-0.8110009,-1.1636206
Pediococcus acidilactici,-3.6735547,-2.564675,2.9060903,-0.16543658,5.1070666
Phascolarctobacterium faecium,1.8214312,-0.30671576,-0.4823088,0.2293314,-0.6285216
Phascolarctobacterium sp CAG 266,1.1925504,-0.41038945,0.07731104,-0.040892553,-0.94776213
Phascolarctobacterium succinatutens,0.844241,-0.09624577,-0.09882337,-0.13638113,-1.0298325
Porphyromonas asaccharolytica,0.30129412,-1.0181835,0.057820976,1.2965167,1.024605
Porphyromonas endodontalis,0.76885986,-1.1999927,0.11905563,0.043219805,0.2629992
Porphyromonas sp HMSC065F10,0.8090922,-1.3937526,0.13105881,-0.013981179,0.4009219
Porphyromonas uenonis,0.7673334,-1.3769634,-0.15427774,1.0141809,0.7527931
Prevotella bivia,0.7309828,-0.6115604,-0.146775,0.8735869,0.05813968
Prevotella buccalis,0.61851275,-0.38811162,0.59056365,1.6828613,-0.069936186
Prevotella copri,0.5599067,-0.7644979,-0.52248174,0.48835778,0.15987232
Prevotella corporis,1.3184123,-0.74780643,-0.18411455,0.8348989,0.45774785
Prevotella sp 885,1.3043318,-0.089255564,-0.11663133,0.54421747,0.35342285
Prevotella sp AM42 24,0.52350444,-0.5637418,-0.94334435,0.27577376,0.07796413
Prevotella sp CAG 1031,0.646702,-0.45444578,0.0054327846,0.77947485,0.19266775
Prevotella sp CAG 1185,1.8828154,0.5774331,0.5198251,0.7675822,1.6289959
Prevotella sp CAG 279,1.0108285,0.0131466985,-0.11830759,0.6858294,0.14642397
Prevotella sp CAG 520,1.3439007,-0.07257697,0.025022447,0.4903691,0.78113616
Prevotella sp CAG 891,1.16224,-0.1579225,-0.08627343,0.5931275,0.55724406
Prevotella stercorea,1.2231476,0.015038051,-0.13132894,0.36623654,0.6003461
Prevotella timonensis,0.6761388,-0.7767413,0.34592217,1.1019874,0.35462007
Propionibacterium acidifaciens,0.48926693,-0.5092837,-1.3072547,-0.7040646,0.3311034
Proteus mirabilis,-3.7896416,3.5440178,0.43084717,8.382341,-8.766693
Pseudocitrobacter faecalis,-12.206936,-9.953365,2.691132,14.641476,-3.2618794
Pyramidobacter piscolens,0.36345458,0.04738543,-0.11641455,0.23680626,0.06265852
Raoultella ornithinolytica,-16.088322,-26.22909,-0.9123899,-10.693687,-6.3441105
Raoultella planticola,-11.80452,-16.39038,-0.40152562,-7.640948,-4.620361
Raoultella terrigena,-9.817848,-9.872276,4.6422687,-4.949355,-6.8674483
Romboutsia ilealis,0.21828377,-0.4327886,0.43081242,0.07171324,-0.52297217
Roseburia faecis,0.31617916,-0.51284903,0.20402646,-0.051096335,-0.98883593
Roseburia hominis,0.24064887,-0.6568732,-0.08763856,-0.0013100775,-0.83423126
Roseburia intestinalis,0.29914916,-0.9403201,1.1901333,0.2516583,-1.6143556
Roseburia inulinivorans,-0.056576848,-0.76854044,0.18917286,0.058698144,-0.8182266
Roseburia sp CAG 182,0.571333,-0.7168777,-0.021422386,0.0037107458,-0.5191033
Roseburia sp CAG 303,0.7639037,-0.35024077,-0.18818039,0.46706018,-0.4695177
Roseburia sp CAG 309,0.7229215,-0.45156923,-0.47969288,-0.14893048,0.14688036
Roseburia sp CAG 471,0.8266402,-0.4996675,-0.05119294,0.11168487,-0.8287684
Rothia aeria,0.5109258,-1.355859,-0.3490497,-0.3826242,0.24796554
Rothia mucilaginosa,0.44517916,0.5210305,-1.0595783,-0.8564793,0.968513
Ruminococcus bicirculans,0.39169392,-0.8835121,-0.5054312,-0.11275323,-0.7410289
Ruminococcus bromii,0.9735569,-0.72833383,-0.35515875,-0.3722194,-1.5287035
Ruminococcus callidus,0.9185277,-0.25305837,0.029242694,-0.09902263,-1.3030775
Ruminococcus gnavus,0.17690116,-0.31527695,0.23267859,0.30631515,-1.8219813
Ruminococcus lactaris,0.5687858,-0.11342489,0.19455248,0.06434895,-1.0231153
Ruminococcus sp CAG 330,0.84734976,-0.24887684,-0.23864272,-0.1356998,-0.94544137
Ruminococcus sp CAG 403,0.4388687,-1.0327508,-0.598564,-0.42504194,-0.96348155
Ruminococcus sp CAG 488,0.72809535,-0.04243867,-0.5308583,0.06922633,-0.23316532
Ruminococcus sp CAG 563,0.55948883,-0.6705186,-0.15353382,-0.33208343,0.12159279
Ruminococcus sp CAG 579,0.43495196,-1.0980456,-0.90955496,-0.48868662,-0.56469035
Ruminococcus torques,0.28812617,-0.7705694,0.52492553,-0.0027545923,-0.82737553
Ruthenibacterium lactatiformans,0.46109706,-0.5457566,-0.70448923,-0.09111293,-0.24157616
Sanguibacteroides justesenii,0.62019825,-0.7464034,0.031485856,-0.27914685,0.395529
Sellimonas intestinalis,0.73314524,-0.118155025,0.11182636,0.120825,-0.964015
Stenotrophomonas maltophilia,6.639128,-1.2458767,5.214041,5.4097357,-0.3875406
Streptococcus agalactiae,0.64890707,-1.1697094,0.51426065,-0.05733843,0.43634042
Streptococcus australis,-1.010184,1.6467719,-0.19848844,-0.7363596,0.33947274
Streptococcus downei,0.18705887,-1.3231326,-0.54522854,-0.27859637,-0.055175453
Streptococcus gallolyticus,0.043988526,-0.44945136,0.37847376,-0.29768392,-0.51747835
Streptococcus gordonii,-2.3578312,0.54867727,-1.7138673,-1.7452534,1.7621362
Streptococcus infantarius,-1.7751384,6.579602,1.2100155,-1.0942881,0.75472605
Streptococcus infantis,-1.3188322,0.9006368,-0.1911845,-0.8381786,0.9832418
Streptococcus lutetiensis,-0.21801633,1.1797214,0.228746,-0.641917,0.23106226
Streptococcus mitis,-2.2174146,4.3250556,3.2090802,-0.714899,0.6409371
Streptococcus mutans,0.425332,-0.13865647,-0.08951837,-0.3666484,0.7959244
Streptococcus oralis,-1.4209723,3.1211603,1.9206253,-0.94755477,0.041294754
Streptococcus parasanguinis,-0.64856046,0.2564303,-0.31388617,-0.554035,0.30258986
Streptococcus pasteurianus,-4.6530857,13.325216,4.7881165,-2.4633527,0.677868
Streptococcus salivarius,-0.074022174,1.5700252,1.2622745,-0.9534524,-0.23417518
Streptococcus sanguinis,-0.46480256,-2.0923996,-0.38979506,0.41692108,1.6037832
Streptococcus sobrinus,0.41581553,-0.3631194,-0.2842238,-0.25723338,0.31425706
Streptococcus thermophilus,-0.3907519,1.6364806,1.0391363,-1.0762147,-0.09352882
Streptococcus vestibularis,-0.1977008,0.8293668,0.7670351,-0.6742518,-0.31143698
Turicibacter sanguinis,0.13943303,0.20381269,0.15765303,-0.030297887,-0.20295331
Tyzzerella nexilis,0.5181992,-0.32521725,0.06494874,0.020198252,-0.81089747
Veillonella atypica,1.2241825,0.7848173,-1.8201035,-0.44345343,0.5152441
Veillonella dispar,1.1430418,0.83877164,-1.9939686,-0.75434786,0.7971165
Veillonella infantium,1.0002847,0.52882653,-1.4157089,-0.5607343,0.3619145
Veillonella parvula,1.2076511,1.7451602,-5.715287,-1.2752749,0.7174809
Veillonella rogosae,1.1279371,0.96121126,-1.5588976,-0.5655774,0.7159288
Veillonella sp CAG 933,2.0256197,0.97970635,-0.71862483,-0.15262455,-0.22771719
Veillonella tobetsuensis,1.2298733,0.9067288,-2.1766152,-0.38227463,0.67732465
Victivallis vadensis,1.0314118,-0.05630628,0.26133078,-0.18122448,-0.9277102
Weissella cibaria,0.37638432,5.1069255,1.02078,-4.836033,-1.8799176
Weissella confusa,0.19536775,6.9566836,1.0950184,-6.8507824,-2.1926699
